__none___f1_score,__none___precision,__none___recall,__none___support,accuracy,age_f1_score,age_precision,age_recall,age_support,case_status_f1_score,case_status_precision,case_status_recall,case_status_support,contact_setting_f1_score,contact_setting_precision,contact_setting_recall,contact_setting_support,date_f1_score,date_precision,date_recall,date_support,gender_f1_score,gender_precision,gender_recall,gender_support,id_f1_score,id_precision,id_recall,id_support,inference_time,location_f1_score,location_precision,location_recall,location_support,macro avg_f1_score,macro avg_precision,macro avg_recall,macro avg_support,medical_boolean_f1_score,medical_boolean_precision,medical_boolean_recall,medical_boolean_support,occupation_f1_score,occupation_precision,occupation_recall,occupation_support,outcome_f1_score,outcome_precision,outcome_recall,outcome_support,pathogen_f1_score,pathogen_precision,pathogen_recall,pathogen_support,run_name,symptoms_f1_score,symptoms_precision,symptoms_recall,symptoms_support,total_entries,weighted avg_f1_score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-1,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-2,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-3,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-4,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-5,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-6,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-7,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-8,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-9,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
0.0000,0.0000,0.0000,0,0.7455,0.5714,0.5000,0.6667,3,0.6667,1.0000,0.5000,2,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000,2,0.9091,0.8333,1.0000,5,0.01s,0.0000,0.0000,0.0000,6,0.5179,0.5641,0.5013,55,0.9189,1.0000,0.8500,20,0.0000,0.0000,0.0000,1,0.6667,1.0000,0.5000,2,0.0000,0.0000,0.0000,0,rule-based-regex-run-10,0.0000,0.0000,0.0000,1,55,0.7692,0.8121,0.7455,55
